Delay : 2, Total Response Took: 2.031, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.12 
Delay : 2, Total Response Took: 2.03, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.11 
Delay : 2, Total Response Took: 2.092, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.12 
Delay : 2, Total Response Took: 2.096, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.09 
Delay : 2, Total Response Took: 2.11, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.1 
Delay : 2, Total Response Took: 2.083, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.09 
Delay : 2, Total Response Took: 2.108, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.1 
Delay : 2, Total Response Took: 2.082, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.1 
Delay : 2, Total Response Took: 2.091, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.1 
Delay : 2, Total Response Took: 2.085, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.11 
Delay : 2, Total Response Took: 2.11, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.13 
Delay : 2, Total Response Took: 2.086, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.1 
Delay : 2, Total Response Took: 2.032, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.12 
Delay : 2, Total Response Took: 2.029, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.12 
Delay : 2, Total Response Took: 2.032, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.12 
Delay : 2, Total Response Took: 2.029, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.13 
Delay : 2, Total Response Took: 2.06, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.12 
Delay : 2, Total Response Took: 2.089, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.11 
Delay : 2, Total Response Took: 2.104, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.1 
Delay : 2, Total Response Took: 2.141, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.09 
Delay : 2, Total Response Took: 2.136, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.09 
Delay : 2, Total Response Took: 2.13, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.09 
Delay : 2, Total Response Took: 2.098, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.07 
Delay : 2, Total Response Took: 2.108, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.08 
Delay : 2, Total Response Took: 2.09, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.06 
Delay : 2, Total Response Took: 2.074, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.05 
Delay : 2, Total Response Took: 2.03, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.06 
Delay : 2, Total Response Took: 2.036, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.06 
Delay : 2, Total Response Took: 2.04, Status: COMPLETED, Payload: 300 bytes, CPU time: 0.07 
Delay : 2, Total Response Took: 2.044, Status: COMPLETED, Payload: 300 bytes, CPU time: 0.07 
Delay : 2, Total Response Took: 2.044, Status: COMPLETED, Payload: 300 bytes, CPU time: 0.05 
Delay : 2, Total Response Took: 2.055, Status: COMPLETED, Payload: 300 bytes, CPU time: 0.06 
Delay : 2, Total Response Took: 2.046, Status: COMPLETED, Payload: 300 bytes, CPU time: 0.06 
Delay : 2, Total Response Took: 2.046, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.04 
Delay : 2, Total Response Took: 2.044, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.03 
Delay : 2, Total Response Took: 2.06, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.05 
Delay : 2, Total Response Took: 2.066, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.07 
Delay : 2, Total Response Took: 2.061, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.04 
Delay : 2, Total Response Took: 2.062, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.04 
Delay : 2, Total Response Took: 2.052, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.03 
Delay : 2, Total Response Took: 2.068, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.05 
Delay : 2, Total Response Took: 2.064, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.04 
Delay : 2, Total Response Took: 2.013, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.04 
